Blocks: '[0:82:1996:5:1, -1:82:1997:5:1, 0:82:1997:5:1, 1:82:1997:5:1, -2:82:1998:5:1,
  -1:137:1939:95:4, 0:137:1939:95:4, 1:137:1939:95:4, 2:137:1939:95:4, 3:137:1939:95:4,
  -3:137:1940:95:4, -2:137:1940:95:1, -1:137:1940:95:4, 0:137:1940:95:4, 1:137:1940:95:4,
  2:137:1940:95:4, 3:137:1940:95:4, -2:137:1941:95:4, -1:137:1941:95:4, 0:137:1941:95:4,
  1:137:1941:95:4, 2:137:1941:95:4, -2:137:1942:95:4, -1:137:1942:95:4, 0:137:1942:95:4,
  1:137:1942:95:4, 2:137:1942:95:4, -2:137:1943:95:4, -1:137:1943:95:4, 0:137:1943:95:4,
  1:137:1943:95:4, 2:137:1943:95:4, -1:137:1944:95:4, 0:137:1944:95:4, 1:137:1944:95:4,
  -1:137:1945:95:4, 0:137:1945:95:4, 1:137:1945:95:4, -1:137:1946:95:4, 0:137:1946:95:4,
  1:137:1946:95:4, -1:137:1947:95:4, 0:137:1947:95:4, 1:137:1947:95:4, -1:137:1948:95:4,
  0:137:1948:95:4, 1:137:1948:95:4, -1:137:1949:95:4, 0:137:1949:95:4, 1:137:1949:95:4,
  -1:137:1950:95:4, 0:137:1950:95:4, 1:137:1950:95:4, 0:137:1951:95:4, 0:137:1952:95:4,
  -64:137:1994:95:4, 64:137:1994:95:4, -65:137:1995:95:4, -64:137:1995:95:1, -63:137:1995:95:4,
  63:137:1995:95:4, 64:137:1995:95:4, 65:137:1995:95:4, -65:137:1996:95:4, -64:137:1996:95:4,
  -63:137:1996:95:1, -62:137:1996:95:1, 62:137:1996:95:4, 63:137:1996:95:1, 64:137:1996:95:4,
  65:137:1996:95:4, -65:137:1997:95:4, -64:137:1997:95:4, -63:137:1997:95:4, -62:137:1997:95:4,
  -61:137:1997:95:4, -60:137:1997:95:4, 60:137:1997:95:4, 61:137:1997:95:1, 62:137:1997:95:4,
  63:137:1997:95:1, 64:137:1997:95:4, 65:137:1997:95:4, 66:137:1997:95:1, -65:137:1998:95:4,
  -64:137:1998:95:4, -63:137:1998:95:4, -62:137:1998:95:1, -61:137:1998:95:4, -60:137:1998:95:4,
  -59:137:1998:95:4, -58:137:1998:95:4, -57:137:1998:95:4, 57:137:1998:95:4, 58:137:1998:95:4,
  59:137:1998:95:4, 60:137:1998:95:1, 61:137:1998:95:1, 62:137:1998:95:1, 63:137:1998:95:4,
  64:137:1998:95:4, 65:137:1998:95:4, 66:137:1998:95:1, 67:137:1998:95:4, 68:137:1998:95:4,
  -66:137:1999:95:4, -65:137:1999:95:4, -64:137:1999:95:4, -63:137:1999:95:4, -62:137:1999:95:4,
  -61:137:1999:95:4, -60:137:1999:95:4, -59:137:1999:95:4, -58:137:1999:95:4, -57:137:1999:95:4,
  -56:137:1999:95:4, -55:137:1999:95:4, -54:137:1999:95:4, -53:137:1999:95:4, -52:137:1999:95:4,
  -51:137:1999:95:4, -50:137:1999:95:4, 50:137:1999:95:4, 51:137:1999:95:4, 52:137:1999:95:4,
  53:137:1999:95:4, 54:137:1999:95:4, 55:137:1999:95:4, 56:137:1999:95:4, 57:137:1999:95:4,
  58:137:1999:95:4, 59:137:1999:95:4, 60:137:1999:95:4, 61:137:1999:95:4, 62:137:1999:95:4,
  63:137:1999:95:4, 64:137:1999:95:4, 65:137:1999:95:4, 66:137:1999:95:4, 67:137:1999:160:1,
  68:137:1999:160:4, -69:137:2000:160:1, -68:137:2000:95:4, -67:137:2000:95:1, -66:137:2000:95:4,
  -65:137:2000:95:4, -64:137:2000:95:4, -63:137:2000:95:4, -62:137:2000:95:4, -61:137:2000:95:4,
  -60:137:2000:95:4, -59:137:2000:95:4, -58:137:2000:95:4, -57:137:2000:95:4, -56:137:2000:95:4,
  -55:137:2000:95:4, -54:137:2000:95:4, -53:137:2000:95:4, -52:137:2000:95:4, -51:137:2000:95:4,
  -50:137:2000:95:4, -49:137:2000:95:4, -48:137:2000:95:4, 48:137:2000:95:4, 49:137:2000:95:4,
  50:137:2000:95:4, 51:137:2000:95:4, 52:137:2000:95:4, 53:137:2000:95:4, 54:137:2000:95:4,
  55:137:2000:95:4, 56:137:2000:95:4, 57:137:2000:95:4, 58:137:2000:95:4, 59:137:2000:95:4,
  60:137:2000:95:4, 61:137:2000:95:4, 62:137:2000:95:4, 63:137:2000:95:4, 64:137:2000:95:4,
  65:137:2000:95:4, 66:137:2000:95:4, 67:137:2000:95:1, 68:137:2000:95:4, -69:137:2001:160:1,
  -68:137:2001:160:4, -67:137:2001:160:1, -66:137:2001:95:4, -65:137:2001:95:4, -64:137:2001:95:4,
  -63:137:2001:95:4, -62:137:2001:95:4, -61:137:2001:95:4, -60:137:2001:95:4, -59:137:2001:95:4,
  -58:137:2001:95:4, -57:137:2001:95:4, -56:137:2001:95:4, -55:137:2001:95:4, -54:137:2001:95:4,
  -53:137:2001:95:4, -52:137:2001:95:4, -51:137:2001:95:4, -50:137:2001:95:4, 50:137:2001:95:4,
  51:137:2001:95:4, 52:137:2001:95:4, 53:137:2001:95:4, 54:137:2001:95:4, 55:137:2001:95:4,
  56:137:2001:95:4, 57:137:2001:95:4, 58:137:2001:95:4, 59:137:2001:95:4, 60:137:2001:95:4,
  61:137:2001:95:4, 62:137:2001:95:4, 63:137:2001:95:4, 64:137:2001:95:4, 65:137:2001:95:4,
  66:137:2001:95:4, -68:137:2002:95:4, -67:137:2002:95:4, -66:137:2002:95:1, -65:137:2002:95:4,
  -64:137:2002:95:4, -63:137:2002:95:4, -62:137:2002:95:1, -61:137:2002:95:1, -60:137:2002:95:1,
  -59:137:2002:95:4, -58:137:2002:95:4, -57:137:2002:95:4, 57:137:2002:95:4, 58:137:2002:95:4,
  59:137:2002:95:4, 60:137:2002:95:4, 61:137:2002:95:4, 62:137:2002:95:1, 63:137:2002:95:4,
  64:137:2002:95:4, 65:137:2002:95:4, -66:137:2003:95:1, -65:137:2003:95:4, -64:137:2003:95:4,
  -63:137:2003:95:1, -62:137:2003:95:4, -61:137:2003:95:1, -60:137:2003:95:4, 60:137:2003:95:4,
  61:137:2003:95:4, 62:137:2003:95:4, 63:137:2003:95:4, 64:137:2003:95:4, 65:137:2003:95:4,
  -65:137:2004:95:4, -64:137:2004:95:4, -63:137:2004:95:1, -62:137:2004:95:4, 62:137:2004:95:1,
  63:137:2004:95:1, 64:137:2004:95:4, 65:137:2004:95:4, -65:137:2005:95:4, -64:137:2005:95:4,
  -63:137:2005:95:4, 63:137:2005:95:4, 64:137:2005:95:1, 65:137:2005:95:4, -64:137:2006:95:4,
  64:137:2006:95:4, 0:137:2048:95:4, 0:137:2049:95:4, -1:137:2050:95:4, 0:137:2050:95:4,
  1:137:2050:95:4, -1:137:2051:95:4, 0:137:2051:95:4, 1:137:2051:95:4, -1:137:2052:95:4,
  0:137:2052:95:4, 1:137:2052:95:4, -1:137:2053:95:4, 0:137:2053:95:4, 1:137:2053:95:4,
  -1:137:2054:95:4, 0:137:2054:95:4, 1:137:2054:95:4, -1:137:2055:95:4, 0:137:2055:95:4,
  1:137:2055:95:4, -1:137:2056:95:4, 0:137:2056:95:4, 1:137:2056:95:4, -2:137:2057:95:4,
  -1:137:2057:95:4, 0:137:2057:95:4, 1:137:2057:95:4, 2:137:2057:95:4, -2:137:2058:95:4,
  -1:137:2058:95:4, 0:137:2058:95:4, 1:137:2058:95:4, 2:137:2058:95:4, -2:137:2059:95:4,
  -1:137:2059:95:4, 0:137:2059:95:4, 1:137:2059:95:4, 2:137:2059:95:4, -3:137:2060:95:4,
  -2:137:2060:95:4, -1:137:2060:95:4, 0:137:2060:95:4, 1:137:2060:95:4, 2:137:2060:95:1,
  3:137:2060:95:4, -3:137:2061:95:4, -2:137:2061:95:4, -1:137:2061:95:4, 0:137:2061:95:4,
  1:137:2061:95:4, 2:137:2061:95:1, 3:137:2061:95:1, -4:137:2062:95:1, -3:137:2062:95:4,
  -2:137:2062:95:1, -1:137:2062:95:4, 0:137:2062:95:4, 1:137:2062:95:4, 2:137:2062:95:1,
  3:137:2062:95:4, 4:137:2062:95:4, -5:137:2063:95:4, -4:137:2063:95:1, -3:137:2063:95:4,
  -2:137:2063:95:4, -1:137:2063:95:4, 0:137:2063:95:4, 1:137:2063:95:4, 2:137:2063:95:4,
  3:137:2063:95:1, 4:137:2063:95:1, 5:137:2063:95:4, -6:137:2064:95:4, -5:137:2064:95:1,
  -4:137:2064:95:4, -3:137:2064:95:4, -2:137:2064:95:4, -1:137:2064:95:4, 0:137:2064:95:4,
  1:137:2064:95:4, 2:137:2064:95:4, 3:137:2064:95:4, 4:137:2064:95:4, 5:137:2064:95:4,
  6:137:2064:95:4, -5:137:2065:95:4, -4:137:2065:95:4, -3:137:2065:95:4, -2:137:2065:95:4,
  -1:137:2065:95:4, 0:137:2065:95:4, 1:137:2065:95:4, 2:137:2065:95:4, 3:137:2065:95:4,
  4:137:2065:95:4, 5:137:2065:95:4, -1:137:2066:95:4, 0:137:2066:95:4, 1:137:2066:95:4,
  2:137:2066:95:1, 3:137:2066:95:1, 0:137:2067:95:1, 1:137:2067:160:1, 2:137:2067:95:4,
  0:137:2068:95:4, 1:137:2068:160:4, 2:137:2068:95:4, 0:137:2069:160:1, 1:137:2069:160:1,
  -1:138:1931:160:4, -2:138:1932:160:1, -1:138:1932:160:4, 0:138:1932:160:1, -2:138:1933:160:1,
  -1:138:1933:160:1, 0:138:1933:95:4, -2:138:1934:95:4, -1:138:1934:95:4, 0:138:1934:95:4,
  1:138:1934:95:4, -7:138:1935:95:4, -6:138:1935:95:4, -5:138:1935:95:4, -4:138:1935:95:4,
  -3:138:1935:95:4, -2:138:1935:95:4, -1:138:1935:95:4, 0:138:1935:95:4, 1:138:1935:95:4,
  2:138:1935:95:4, 3:138:1935:95:4, 4:138:1935:95:4, 5:138:1935:95:4, 6:138:1935:95:4,
  7:138:1935:95:4, -7:138:1936:95:4, -6:138:1936:95:4, -5:138:1936:95:4, -4:138:1936:95:4,
  -3:138:1936:95:4, -2:138:1936:95:4, -1:138:1936:95:4, 0:138:1936:95:4, 1:138:1936:95:4,
  2:138:1936:95:4, 3:138:1936:95:4, 4:138:1936:95:4, 5:138:1936:95:1, 6:138:1936:95:4,
  7:138:1936:95:4, -7:138:1937:95:4, -6:138:1937:95:4, -5:138:1937:95:1, -4:138:1937:95:1,
  -3:138:1937:95:1, -2:138:1937:95:4, -1:138:1937:95:4, 0:138:1937:95:4, 1:138:1937:95:4,
  2:138:1937:95:1, 3:138:1937:95:1, 4:138:1937:95:1, 5:138:1937:95:4, 6:138:1937:95:4,
  7:138:1937:95:4, -5:138:1938:95:1, -4:138:1938:95:1, -3:138:1938:95:4, -2:138:1938:95:1,
  -1:138:1938:95:4, 0:138:1938:95:4, 1:138:1938:95:4, 2:138:1938:95:1, 3:138:1938:95:4,
  4:138:1938:95:1, -4:138:1939:95:1, -3:138:1939:95:4, -2:138:1939:95:1, -1:138:1939:95:4,
  0:138:1939:95:4, 1:138:1939:95:4, 2:138:1939:95:4, 3:138:1939:95:1, -3:138:1940:95:4,
  -2:138:1940:95:1, -1:138:1940:95:4, 0:138:1940:95:4, 1:138:1940:95:4, 2:138:1940:95:4,
  -2:138:1941:95:4, -1:138:1941:95:4, 0:138:1941:95:4, 1:138:1941:95:4, 2:138:1941:95:4,
  -2:138:1942:95:4, -1:138:1942:95:4, 0:138:1942:95:4, 1:138:1942:95:4, 2:138:1942:95:4,
  -2:138:1943:95:4, -1:138:1943:95:4, 0:138:1943:95:4, 1:138:1943:95:4, 2:138:1943:95:4,
  -1:138:1944:95:4, 0:138:1944:95:4, 1:138:1944:95:4, -1:138:1945:95:4, 0:138:1945:95:4,
  1:138:1945:95:4, -1:138:1946:95:4, 0:138:1946:95:4, 1:138:1946:95:4, -1:138:1947:95:4,
  0:138:1947:95:4, 1:138:1947:95:4, -1:138:1948:95:4, 0:138:1948:95:4, 1:138:1948:95:4,
  0:138:1949:95:4, 0:138:1950:95:4, -65:138:1993:95:4, -64:138:1993:95:4, -63:138:1993:95:4,
  63:138:1993:95:4, 64:138:1993:95:4, 65:138:1993:95:4, -65:138:1994:95:4, -64:138:1994:95:4,
  -63:138:1994:95:4, 63:138:1994:95:4, 64:138:1994:95:4, 65:138:1994:95:4, -65:138:1995:95:4,
  -64:138:1995:95:1, -63:138:1995:95:4, 62:138:1995:95:1, 63:138:1995:95:1, 64:138:1995:95:4,
  65:138:1995:95:4, -65:138:1996:95:4, -64:138:1996:95:4, -63:138:1996:95:1, -62:138:1996:95:1,
  61:138:1996:95:1, 62:138:1996:95:1, 63:138:1996:95:1, 64:138:1996:95:4, 65:138:1996:95:4,
  -65:138:1997:95:4, -64:138:1997:95:4, -63:138:1997:95:1, -62:138:1997:95:4, -61:138:1997:95:1,
  60:138:1997:95:4, 61:138:1997:95:4, 62:138:1997:95:4, 63:138:1997:95:1, 64:138:1997:95:4,
  65:138:1997:95:4, -65:138:1998:95:4, -64:138:1998:95:4, -63:138:1998:95:1, -62:138:1998:95:1,
  -61:138:1998:95:4, -60:138:1998:95:4, -59:138:1998:95:4, -58:138:1998:95:4, -57:138:1998:95:4,
  57:138:1998:95:4, 58:138:1998:95:4, 59:138:1998:95:4, 60:138:1998:95:1, 61:138:1998:95:1,
  62:138:1998:95:1, 63:138:1998:95:4, 64:138:1998:95:4, 65:138:1998:95:4, 66:138:1998:95:4,
  67:138:1998:160:1, 68:138:1998:160:1, -66:138:1999:95:4, -65:138:1999:95:4, -64:138:1999:95:4,
  -63:138:1999:95:4, -62:138:1999:95:4, -61:138:1999:95:4, -60:138:1999:95:4, -59:138:1999:95:4,
  -58:138:1999:95:4, -57:138:1999:95:4, -56:138:1999:95:4, -55:138:1999:95:4, -54:138:1999:95:4,
  -53:138:1999:95:4, -52:138:1999:95:4, 52:138:1999:95:4, 53:138:1999:95:4, 54:138:1999:95:4,
  55:138:1999:95:4, 56:138:1999:95:4, 57:138:1999:95:4, 58:138:1999:95:4, 59:138:1999:95:4,
  60:138:1999:95:4, 61:138:1999:95:4, 62:138:1999:95:4, 63:138:1999:95:4, 64:138:1999:95:4,
  65:138:1999:95:4, 66:138:1999:95:4, 67:138:1999:160:1, 68:138:1999:160:4, -68:138:2000:160:1,
  -67:138:2000:95:4, -66:138:2000:95:4, -65:138:2000:95:4, -64:138:2000:95:4, -63:138:2000:95:4,
  -62:138:2000:95:4, -61:138:2000:95:4, -60:138:2000:95:4, -59:138:2000:95:4, -58:138:2000:95:4,
  -57:138:2000:95:4, -56:138:2000:95:4, -55:138:2000:95:4, -54:138:2000:95:4, -53:138:2000:95:4,
  -52:138:2000:95:4, -51:138:2000:95:4, -50:138:2000:95:4, 50:138:2000:95:4, 51:138:2000:95:4,
  52:138:2000:95:4, 53:138:2000:95:4, 54:138:2000:95:4, 55:138:2000:95:4, 56:138:2000:95:4,
  57:138:2000:95:4, 58:138:2000:95:4, 59:138:2000:95:4, 60:138:2000:95:4, 61:138:2000:95:4,
  62:138:2000:95:4, 63:138:2000:95:4, 64:138:2000:95:4, 65:138:2000:95:4, 66:138:2000:95:4,
  67:138:2000:95:4, 68:138:2000:160:1, -69:138:2001:160:4, -68:138:2001:160:4, -67:138:2001:160:1,
  -66:138:2001:95:4, -65:138:2001:95:4, -64:138:2001:95:4, -63:138:2001:95:4, -62:138:2001:95:4,
  -61:138:2001:95:4, -60:138:2001:95:4, -59:138:2001:95:4, -58:138:2001:95:4, -57:138:2001:95:4,
  -56:138:2001:95:4, -55:138:2001:95:4, -54:138:2001:95:4, -53:138:2001:95:4, -52:138:2001:95:4,
  52:138:2001:95:4, 53:138:2001:95:4, 54:138:2001:95:4, 55:138:2001:95:4, 56:138:2001:95:4,
  57:138:2001:95:4, 58:138:2001:95:4, 59:138:2001:95:4, 60:138:2001:95:4, 61:138:2001:95:4,
  62:138:2001:95:4, 63:138:2001:95:4, 64:138:2001:95:4, 65:138:2001:95:4, 66:138:2001:95:4,
  -68:138:2002:160:1, -67:138:2002:160:1, -66:138:2002:95:4, -65:138:2002:95:4, -64:138:2002:95:4,
  -63:138:2002:95:4, -62:138:2002:95:1, -61:138:2002:95:1, -60:138:2002:95:1, -59:138:2002:95:4,
  -58:138:2002:95:4, -57:138:2002:95:4, 57:138:2002:95:4, 58:138:2002:95:4, 59:138:2002:95:4,
  60:138:2002:95:4, 61:138:2002:95:4, 62:138:2002:95:1, 63:138:2002:95:1, 64:138:2002:95:4,
  65:138:2002:95:4, -65:138:2003:95:4, -64:138:2003:95:4, -63:138:2003:95:1, -62:138:2003:95:4,
  -61:138:2003:95:4, -60:138:2003:95:4, 61:138:2003:95:1, 62:138:2003:95:4, 63:138:2003:95:1,
  64:138:2003:95:4, 65:138:2003:95:4, -65:138:2004:95:4, -64:138:2004:95:4, -63:138:2004:95:1,
  -62:138:2004:95:1, -61:138:2004:95:1, 62:138:2004:95:1, 63:138:2004:95:1, 64:138:2004:95:4,
  65:138:2004:95:4, -65:138:2005:95:4, -64:138:2005:95:4, -63:138:2005:95:1, -62:138:2005:95:1,
  63:138:2005:95:4, 64:138:2005:95:1, 65:138:2005:95:4, -65:138:2006:95:4, -64:138:2006:95:4,
  -63:138:2006:95:4, 63:138:2006:95:4, 64:138:2006:95:4, 65:138:2006:95:4, -65:138:2007:95:4,
  -64:138:2007:95:4, -63:138:2007:95:4, 63:138:2007:95:4, 64:138:2007:95:4, 65:138:2007:95:4,
  0:138:2050:95:4, 0:138:2051:95:4, -1:138:2052:95:4, 0:138:2052:95:4, 1:138:2052:95:4,
  -1:138:2053:95:4, 0:138:2053:95:4, 1:138:2053:95:4, -1:138:2054:95:4, 0:138:2054:95:4,
  1:138:2054:95:4, -1:138:2055:95:4, 0:138:2055:95:4, 1:138:2055:95:4, -1:138:2056:95:4,
  0:138:2056:95:4, 1:138:2056:95:4, -2:138:2057:95:4, -1:138:2057:95:4, 0:138:2057:95:4,
  1:138:2057:95:4, 2:138:2057:95:4, -2:138:2058:95:4, -1:138:2058:95:4, 0:138:2058:95:4,
  1:138:2058:95:4, 2:138:2058:95:4, -2:138:2059:95:4, -1:138:2059:95:4, 0:138:2059:95:4,
  1:138:2059:95:4, 2:138:2059:95:4, -2:138:2060:95:4, -1:138:2060:95:4, 0:138:2060:95:4,
  1:138:2060:95:4, 2:138:2060:95:1, 3:138:2060:95:4, -3:138:2061:95:1, -2:138:2061:95:4,
  -1:138:2061:95:4, 0:138:2061:95:4, 1:138:2061:95:4, 2:138:2061:95:1, 3:138:2061:95:4,
  4:138:2061:95:1, -4:138:2062:95:1, -3:138:2062:95:4, -2:138:2062:95:1, -1:138:2062:95:4,
  0:138:2062:95:4, 1:138:2062:95:4, 2:138:2062:95:1, 3:138:2062:95:4, 4:138:2062:95:1,
  5:138:2062:95:1, -7:138:2063:95:4, -6:138:2063:95:4, -5:138:2063:95:4, -4:138:2063:95:1,
  -3:138:2063:95:1, -2:138:2063:95:1, -1:138:2063:95:4, 0:138:2063:95:4, 1:138:2063:95:4,
  2:138:2063:95:4, 3:138:2063:95:1, 4:138:2063:95:1, 5:138:2063:95:1, 6:138:2063:95:4,
  7:138:2063:95:4, -7:138:2064:95:4, -6:138:2064:95:4, -5:138:2064:95:1, -4:138:2064:95:4,
  -3:138:2064:95:4, -2:138:2064:95:4, -1:138:2064:95:4, 0:138:2064:95:4, 1:138:2064:95:4,
  2:138:2064:95:4, 3:138:2064:95:4, 4:138:2064:95:4, 5:138:2064:95:4, 6:138:2064:95:4,
  7:138:2064:95:4, -7:138:2065:95:4, -6:138:2065:95:4, -5:138:2065:95:4, -4:138:2065:95:4,
  -3:138:2065:95:4, -2:138:2065:95:4, -1:138:2065:95:4, 0:138:2065:95:4, 1:138:2065:95:4,
  2:138:2065:95:4, 3:138:2065:95:4, 4:138:2065:95:4, 5:138:2065:95:4, 6:138:2065:95:4,
  7:138:2065:95:4, -1:138:2066:95:4, 0:138:2066:95:4, 1:138:2066:95:4, 2:138:2066:95:4,
  0:138:2067:95:4, 1:138:2067:160:1, 2:138:2067:160:1, 0:138:2068:160:1, 1:138:2068:160:4,
  2:138:2068:160:1, 1:138:2069:160:4, -1:139:1931:160:4, -2:139:1932:160:1, -1:139:1932:160:4,
  0:139:1932:160:1, -3:139:1933:95:1, -2:139:1933:160:4, -1:139:1933:160:1, 0:139:1933:95:4,
  1:139:1933:95:4, -3:139:1934:95:1, -2:139:1934:95:1, -1:139:1934:95:1, 0:139:1934:95:4,
  1:139:1934:95:4, -7:139:1935:95:4, -6:139:1935:95:4, -5:139:1935:95:4, -4:139:1935:95:4,
  -3:139:1935:95:4, -2:139:1935:95:4, -1:139:1935:95:4, 0:139:1935:95:4, 3:139:1935:95:1,
  4:139:1935:95:1, 5:139:1935:95:1, 6:139:1935:95:4, 7:139:1935:95:4, -7:139:1936:95:4,
  -6:139:1936:95:4, -5:139:1936:95:4, -4:139:1936:95:4, -3:139:1936:95:4, -2:139:1936:95:4,
  -1:139:1936:95:4, 0:139:1936:95:4, 1:139:1936:95:4, 2:139:1936:95:1, 3:139:1936:95:4,
  4:139:1936:95:1, 5:139:1936:95:1, 6:139:1936:95:1, 7:139:1936:95:1, -7:139:1937:95:4,
  -6:139:1937:95:4, -5:139:1937:95:4, -4:139:1937:95:1, -3:139:1937:95:1, -2:139:1937:95:4,
  -1:139:1937:95:4, 0:139:1937:95:4, 1:139:1937:95:4, 2:139:1937:95:4, 3:139:1937:95:1,
  4:139:1937:95:4, 5:139:1937:95:1, 6:139:1937:95:1, 7:139:1937:95:1, -7:139:1938:95:4,
  -6:139:1938:95:1, -5:139:1938:95:4, -4:139:1938:95:1, -3:139:1938:95:1, -2:139:1938:95:4,
  -1:139:1938:95:4, 0:139:1938:95:4, 1:139:1938:95:4, 2:139:1938:95:4, 3:139:1938:95:1,
  4:139:1938:95:4, 5:139:1938:95:4, 6:139:1938:95:4, -4:139:1939:95:4, -3:139:1939:95:1,
  -2:139:1939:95:4, -1:139:1939:95:4, 0:139:1939:95:4, 1:139:1939:95:4, 2:139:1939:95:1,
  3:139:1939:95:4, -3:139:1940:95:1, -2:139:1940:95:4, -1:139:1940:95:4, 0:139:1940:95:4,
  1:139:1940:95:4, 2:139:1940:95:1, 3:139:1940:95:1, -2:139:1941:95:4, -1:139:1941:95:4,
  0:139:1941:95:4, 1:139:1941:95:4, 2:139:1941:95:4, -2:139:1942:95:4, -1:139:1942:95:4,
  0:139:1942:95:4, 1:139:1942:95:4, 2:139:1942:95:4, -2:139:1943:95:4, -1:139:1943:95:4,
  0:139:1943:95:4, 1:139:1943:95:4, 2:139:1943:95:4, -1:139:1944:95:4, 0:139:1944:95:4,
  1:139:1944:95:4, -1:139:1945:95:4, 0:139:1945:95:4, 1:139:1945:95:4, -1:139:1946:95:4,
  0:139:1946:95:4, 1:139:1946:95:4, -1:139:1947:95:4, 0:139:1947:95:4, 1:139:1947:95:4,
  0:139:1948:95:4, 0:139:1949:95:4, -65:139:1993:95:4, -64:139:1993:95:1, -63:139:1993:95:1,
  62:139:1993:95:4, 63:139:1993:95:4, 64:139:1993:95:4, 65:139:1993:95:4, -65:139:1994:95:4,
  -64:139:1994:95:1, -63:139:1994:95:1, -62:139:1994:95:4, 62:139:1994:95:1, 63:139:1994:95:4,
  64:139:1994:95:4, 65:139:1994:95:4, -65:139:1995:95:1, -64:139:1995:95:1, -63:139:1995:95:1,
  -62:139:1995:95:4, 62:139:1995:95:4, 63:139:1995:95:4, 64:139:1995:95:4, 65:139:1995:95:4,
  -65:139:1996:95:1, -64:139:1996:95:1, -63:139:1996:95:4, -62:139:1996:95:4, 61:139:1996:95:4,
  62:139:1996:95:1, 63:139:1996:95:1, 64:139:1996:95:4, 65:139:1996:95:4, -65:139:1997:95:1,
  -64:139:1997:95:4, -63:139:1997:95:1, -62:139:1997:95:1, -61:139:1997:95:4, -60:139:1997:95:1,
  60:139:1997:95:1, 61:139:1997:95:1, 62:139:1997:95:1, 63:139:1997:95:1, 64:139:1997:95:4,
  65:139:1997:95:4, 66:139:1997:95:1, 67:139:1997:95:1, -64:139:1998:95:1, -63:139:1998:95:4,
  -62:139:1998:95:4, -61:139:1998:95:1, -60:139:1998:95:1, -59:139:1998:95:4, -58:139:1998:95:4,
  -57:139:1998:95:4, 57:139:1998:95:4, 58:139:1998:95:4, 59:139:1998:95:4, 60:139:1998:95:4,
  61:139:1998:95:4, 62:139:1998:95:4, 63:139:1998:95:4, 64:139:1998:95:4, 65:139:1998:95:4,
  66:139:1998:95:1, 67:139:1998:160:4, 68:139:1998:160:1, -67:139:1999:95:4, -66:139:1999:95:4,
  -64:139:1999:95:4, -63:139:1999:95:4, -62:139:1999:95:4, -61:139:1999:95:4, -60:139:1999:95:4,
  -59:139:1999:95:4, -58:139:1999:95:4, -57:139:1999:95:4, -56:139:1999:95:4, -55:139:1999:95:4,
  -54:139:1999:95:4, -53:139:1999:95:4, 53:139:1999:95:4, 54:139:1999:95:4, 55:139:1999:95:4,
  56:139:1999:95:4, 57:139:1999:95:4, 58:139:1999:95:4, 59:139:1999:95:4, 60:139:1999:95:4,
  61:139:1999:95:4, 62:139:1999:95:4, 63:139:1999:95:4, 64:139:1999:95:4, 65:139:1999:95:4,
  66:139:1999:95:1, 67:139:1999:160:1, 68:139:1999:160:4, -68:139:2000:160:1, -67:139:2000:95:4,
  -66:139:2000:95:4, -65:139:2000:95:4, -64:139:2000:95:4, -63:139:2000:95:4, -62:139:2000:95:4,
  -61:139:2000:95:4, -60:139:2000:95:4, -59:139:2000:95:4, -58:139:2000:95:4, -57:139:2000:95:4,
  -56:139:2000:95:4, -55:139:2000:95:4, -54:139:2000:95:4, -53:139:2000:95:4, -52:139:2000:95:4,
  -51:139:2000:95:4, 51:139:2000:95:4, 52:139:2000:95:4, 53:139:2000:95:4, 54:139:2000:95:4,
  55:139:2000:95:4, 56:139:2000:95:4, 57:139:2000:95:4, 58:139:2000:95:4, 59:139:2000:95:4,
  60:139:2000:95:4, 61:139:2000:95:4, 62:139:2000:95:4, 63:139:2000:95:4, 64:139:2000:95:4,
  65:139:2000:95:4, 66:139:2000:95:4, 67:139:2000:95:4, 68:139:2000:160:1, -69:139:2001:160:4,
  -68:139:2001:160:4, -67:139:2001:160:1, -66:139:2001:95:1, -65:139:2001:95:4, -64:139:2001:95:4,
  -63:139:2001:95:4, -62:139:2001:95:4, -61:139:2001:95:4, -60:139:2001:95:4, -59:139:2001:95:4,
  -58:139:2001:95:4, -57:139:2001:95:4, -56:139:2001:95:4, -55:139:2001:95:4, -54:139:2001:95:4,
  -53:139:2001:95:4, 53:139:2001:95:4, 54:139:2001:95:4, 55:139:2001:95:4, 56:139:2001:95:4,
  57:139:2001:95:4, 58:139:2001:95:4, 59:139:2001:95:4, 60:139:2001:95:4, 61:139:2001:95:4,
  62:139:2001:95:4, 63:139:2001:95:4, 64:139:2001:95:4, 66:139:2001:95:4, 67:139:2001:95:4,
  -68:139:2002:160:1, -67:139:2002:160:4, -66:139:2002:95:1, -65:139:2002:95:4, -64:139:2002:95:4,
  -63:139:2002:95:4, -62:139:2002:95:4, -61:139:2002:95:4, -60:139:2002:95:4, -59:139:2002:95:4,
  -58:139:2002:95:4, -57:139:2002:95:4, 57:139:2002:95:4, 58:139:2002:95:4, 59:139:2002:95:4,
  60:139:2002:95:1, 61:139:2002:95:1, 62:139:2002:95:4, 63:139:2002:95:4, 64:139:2002:95:1,
  -67:139:2003:95:1, -66:139:2003:95:1, -65:139:2003:95:4, -64:139:2003:95:4, -63:139:2003:95:1,
  -62:139:2003:95:1, -61:139:2003:95:1, -60:139:2003:95:1, 60:139:2003:95:1, 61:139:2003:95:4,
